N° de factura,Fecha de factura,ID Cliente,País,Cantidad,Monto,Mes,Dias hasta próxima compra,Hora
540946,2021-01-12 12:43:00,12359.0,Cyprus,144,547.5,2021-01,,12
543370,2021-02-07 14:51:00,12359.0,Cyprus,465,1838.91,2021-02,26.0,14
555477,2021-06-03 12:26:00,12359.0,Cyprus,356,1109.32,2021-06,115.0,12
571034,2021-10-13 12:47:00,12359.0,Cyprus,657,2876.85,2021-10,132.0,12
554132,2021-05-23 09:43:00,12360.0,Austria,434,1083.58,2021-05,,9
563749,2021-08-19 10:10:00,12360.0,Austria,240,534.7,2021-08,88.0,10
571705,2021-10-18 15:22:00,12360.0,Austria,491,1043.78,2021-10,60.0,15
545017,2021-02-25 13:51:00,12361.0,Belgium,91,189.9,2021-02,,13
544203,2021-02-17 10:30:00,12362.0,Belgium,229,479.1,2021-02,,10
551346,2021-04-28 09:12:00,12362.0,Belgium,275,495.24,2021-04,69.0,9
559295,2021-07-07 12:32:00,12362.0,Belgium,144,303.76,2021-07,70.0,12
563037,2021-08-11 15:02:00,12362.0,Belgium,340,469.25,2021-08,35.0,15
568651,2021-09-28 12:04:00,12362.0,Belgium,267,829.99,2021-09,47.0,12
570667,2021-10-11 14:33:00,12362.0,Belgium,162,355.8,2021-10,13.0,14
572887,2021-10-26 13:47:00,12362.0,Belgium,213,786.95,2021-10,14.0,13
573173,2021-10-28 10:10:00,12362.0,Belgium,168,499.16,2021-10,1.0,10
574329,2021-11-04 09:07:00,12362.0,Belgium,210,477.94,2021-11,6.0,9
580979,2021-12-06 15:40:00,12362.0,Belgium,221,529.04,2021-12,32.0,15
549687,2021-04-11 13:29:00,12363.0,Unspecified,282,299.1,2021-04,,13
563947,2021-08-22 10:18:00,12363.0,Unspecified,126,252.9,2021-08,132.0,10
563854,2021-08-19 15:24:00,12364.0,Belgium,555,623.92,2021-08,,15
567897,2021-09-22 16:07:00,12364.0,Belgium,181,79.8,2021-09,34.0,16
573401,2021-10-30 15:43:00,12364.0,Belgium,268,299.06,2021-10,37.0,15
580152,2021-12-02 10:22:00,12364.0,Belgium,502,310.32,2021-12,32.0,10
544574,2021-02-21 13:51:00,12365.0,Cyprus,173,320.69,2021-02,,13
544578,2021-02-21 14:04:00,12365.0,Cyprus,1,320.69,2021-02,0.0,14
580716,2021-12-05 16:48:00,12367.0,Denmark,173,168.9,2021-12,,16
538826,2020-12-14 12:58:00,12370.0,Cyprus,917,1590.82,2020-12,,12
539330,2020-12-17 09:38:00,12370.0,Austria,51,277.2,2020-12,2.0,9
546236,2021-03-10 12:48:00,12370.0,Cyprus,1005,938.39,2021-03,83.0,12
571905,2021-10-19 14:51:00,12370.0,Cyprus,380,739.28,2021-10,223.0,14
570521,2021-10-11 10:43:00,12371.0,Switzerland,582,1527.96,2021-10,,10
572770,2021-10-26 10:16:00,12371.0,Switzerland,9,360.0,2021-10,14.0,10
544157,2021-02-16 12:46:00,12372.0,Denmark,224,399.22,2021-02,,12
552731,2021-05-11 10:43:00,12372.0,Denmark,368,515.7,2021-05,83.0,10
568872,2021-09-29 12:12:00,12372.0,Denmark,202,383.12,2021-09,141.0,12
542887,2021-02-01 13:10:00,12373.0,Austria,197,364.6,2021-02,,13
576345,2021-11-14 15:37:00,12374.0,Austria,342,742.93,2021-11,,15
565333,2021-09-02 14:23:00,12375.0,Finland,87,230.3,2021-09,,14
579281,2021-11-29 10:36:00,12375.0,Finland,91,227.2,2021-11,87.0,10
539488,2020-12-20 09:37:00,12377.0,Switzerland,604,1001.52,2020-12,,9
542586,2021-01-28 15:45:00,12377.0,Switzerland,340,626.6,2021-01,39.0,15
562046,2021-08-02 10:34:00,12378.0,Switzerland,2529,4008.62,2021-08,,10
557789,2021-06-22 16:32:00,12379.0,Belgium,211,459.84,2021-06,,16
567196,2021-09-19 10:09:00,12379.0,Belgium,196,392.4,2021-09,88.0,10
555739,2021-06-07 09:49:00,12380.0,Belgium,293,607.55,2021-06,,9
567928,2021-09-22 17:31:00,12380.0,Belgium,290,626.01,2021-09,107.0,17
571187,2021-10-14 11:39:00,12380.0,Belgium,229,450.86,2021-10,21.0,11
577180,2021-11-18 11:27:00,12380.0,Belgium,315,1040.39,2021-11,34.0,11
563100,2021-08-12 09:57:00,12381.0,Norway,568,1268.74,2021-08,,9
570681,2021-10-11 15:45:00,12381.0,Norway,1,6.0,2021-10,60.0,15
570725,2021-10-12 11:30:00,12381.0,Norway,1,4.5,2021-10,0.0,11
574694,2021-11-06 13:36:00,12381.0,Norway,146,419.06,2021-11,25.0,13
580638,2021-12-05 12:44:00,12381.0,Norway,92,147.01,2021-12,28.0,12
539840,2020-12-22 14:28:00,12383.0,Belgium,754,600.72,2020-12,,14
540971,2021-01-12 14:10:00,12383.0,Belgium,590,651.16,2021-01,20.0,14
546434,2021-03-14 08:41:00,12383.0,Belgium,91,357.07,2021-03,60.0,8
550284,2021-04-15 14:10:00,12383.0,Belgium,77,142.16,2021-04,32.0,14
555928,2021-06-08 08:02:00,12383.0,Belgium,20,99.45,2021-06,53.0,8
562882,2021-08-10 11:23:00,12384.0,Switzerland,62,292.69,2021-08,,11
575734,2021-11-11 08:39:00,12384.0,Switzerland,64,292.58,2021-11,92.0,8
537676,2020-12-08 09:53:00,12386.0,Australia,214,258.9,2020-12,,9
540280,2021-01-06 12:37:00,12386.0,Australia,140,143.0,2021-01,29.0,12
541271,2021-01-17 11:12:00,12388.0,Australia,204,431.3,2021-01,,11
543357,2021-02-07 13:59:00,12388.0,Australia,37,124.05,2021-02,21.0,13
546135,2021-03-09 15:47:00,12388.0,Australia,90,210.9,2021-03,30.0,15
560033,2021-07-14 13:28:00,12388.0,Australia,429,902.09,2021-07,126.0,13
568145,2021-09-25 11:30:00,12388.0,Australia,478,825.92,2021-09,72.0,11
578459,2021-11-24 12:30:00,12388.0,Australia,224,286.4,2021-11,60.0,12
567530,2021-09-21 09:33:00,12390.0,Belgium,353,549.84,2021-09,,9
577228,2021-11-18 12:07:00,12391.0,Cyprus,300,460.89,2021-11,,12
540700,2021-01-11 09:47:00,12393.0,Australia,238,462.5,2021-01,,9
541149,2021-01-14 11:36:00,12393.0,Australia,60,177.0,2021-01,3.0,11
549313,2021-04-08 09:45:00,12393.0,Australia,224,421.6,2021-04,83.0,9
568708,2021-09-28 15:41:00,12393.0,Australia,294,521.5,2021-09,173.0,15
552188,2021-05-06 14:01:00,12394.0,Belgium,182,381.08,2021-05,,14
569997,2021-10-07 08:08:00,12394.0,Denmark,637,891.4,2021-10,153.0,8
537026,2020-12-03 16:35:00,12395.0,Belgium,528,346.1,2020-12,,16
539447,2020-12-17 16:00:00,12395.0,Belgium,225,333.82,2020-12,13.0,16
543733,2021-02-11 12:16:00,12395.0,Belgium,262,231.51,2021-02,55.0,12
547517,2021-03-23 14:33:00,12395.0,Belgium,321,326.5,2021-03,40.0,14
551985,2021-05-05 14:38:00,12395.0,Belgium,72,149.97,2021-05,43.0,14
552884,2021-05-12 10:15:00,12395.0,Belgium,83,181.82,2021-05,6.0,10
558623,2021-06-30 16:52:00,12395.0,Belgium,103,163.9,2021-06,49.0,16
563852,2021-08-19 15:18:00,12395.0,Belgium,35,165.95,2021-08,49.0,15
569496,2021-10-04 13:45:00,12395.0,Belgium,118,346.68,2021-10,45.0,13
575151,2021-11-08 16:12:00,12395.0,Belgium,129,263.08,2021-11,35.0,16
575154,2021-11-08 16:15:00,12395.0,Belgium,117,243.47,2021-11,0.0,16
577551,2021-11-20 15:21:00,12395.0,Belgium,125,265.83,2021-11,11.0,15
561507,2021-07-27 14:21:00,12397.0,Belgium,704,1214.81,2021-07,,14
574336,2021-11-04 09:52:00,12397.0,Belgium,559,1195.09,2021-11,99.0,9
572567,2021-10-25 10:27:00,12398.0,Switzerland,1394,1635.66,2021-10,,10
547412,2021-03-23 09:42:00,12399.0,Belgium,364,288.05,2021-03,,9
552543,2021-05-10 10:22:00,12399.0,Belgium,494,480.9,2021-05,48.0,10
556203,2021-06-09 13:09:00,12399.0,Belgium,145,130.08,2021-06,30.0,13
563172,2021-08-12 13:15:00,12399.0,Belgium,175,209.62,2021-08,64.0,13
543537,2021-02-09 13:50:00,12401.0,Belgium,11,84.3,2021-02,,13
541675,2021-01-20 13:49:00,12402.0,Belgium,94,225.6,2021-01,,13
572184,2021-10-21 10:51:00,12403.0,Denmark,96,427.7,2021-10,,10
559928,2021-07-14 08:52:00,12405.0,Finland,857,1710.39,2021-07,,8
556127,2021-06-09 10:23:00,12406.0,Denmark,793,1621.25,2021-06,,10
577126,2021-11-17 19:22:00,12406.0,Denmark,1025,1794.05,2021-11,161.0,19
547061,2021-03-20 13:21:00,12407.0,Belgium,215,226.3,2021-03,,13
550440,2021-04-18 12:25:00,12407.0,Belgium,204,269.66,2021-04,28.0,12
559058,2021-07-06 09:49:00,12407.0,Belgium,522,719.06,2021-07,78.0,9
561662,2021-07-28 16:28:00,12407.0,Belgium,296,192.34,2021-07,22.0,16
572133,2021-10-21 10:11:00,12407.0,Belgium,179,300.76,2021-10,84.0,10
547684,2021-03-24 14:46:00,12408.0,Belgium,330,762.89,2021-03,,14
547685,2021-03-24 14:47:00,12408.0,Belgium,26,74.7,2021-03,0.0,14
557147,2021-06-17 10:51:00,12408.0,Belgium,378,654.18,2021-06,84.0,10
565246,2021-09-02 10:27:00,12408.0,Belgium,310,642.28,2021-09,76.0,10
574862,2021-11-07 12:27:00,12408.0,Belgium,365,754.5,2021-11,66.0,12
556415,2021-06-10 12:19:00,12409.0,Switzerland,3142,6207.08,2021-06,,12
567642,2021-09-21 14:15:00,12409.0,Switzerland,1,4.95,2021-09,103.0,14
567721,2021-09-22 10:38:00,12409.0,Switzerland,2408,4860.64,2021-09,0.0,10
543180,2021-02-04 10:38:00,12410.0,Switzerland,203,625.33,2021-02,,10
543181,2021-02-04 10:39:00,12410.0,Switzerland,8,68.0,2021-02,0.0,10
557889,2021-06-23 13:51:00,12412.0,Denmark,358,514.5,2021-06,,13
561102,2021-07-25 11:17:00,12412.0,Denmark,241,376.24,2021-07,31.0,11
568223,2021-09-26 10:16:00,12412.0,Denmark,230,336.14,2021-09,62.0,10
540365,2021-01-06 16:12:00,12413.0,France,180,479.25,2021-01,,16
550338,2021-04-17 15:33:00,12413.0,France,25,84.65,2021-04,100.0,15
569402,2021-10-04 09:00:00,12413.0,France,81,194.2,2021-10,169.0,9
543027,2021-02-02 14:51:00,12414.0,Austria,145,153.76,2021-02,,14
550998,2021-04-26 09:12:00,12414.0,Austria,113,242.8,2021-04,82.0,9
552202,2021-05-06 14:51:00,12414.0,Austria,42,165.85,2021-05,10.0,14
540267,2021-01-06 11:12:00,12415.0,Australia,4662,7011.38,2021-01,,11
540557,2021-01-10 09:58:00,12415.0,Australia,96,81.6,2021-01,3.0,9
543989,2021-02-15 09:52:00,12415.0,Australia,8384,14022.92,2021-02,35.0,9
545475,2021-03-03 10:59:00,12415.0,Australia,10272,16726.84,2021-03,16.0,10
548661,2021-04-01 14:28:00,12415.0,Australia,1,350.0,2021-04,29.0,14
553546,2021-05-17 15:42:00,12415.0,Australia,8268,11924.8,2021-05,46.0,15
554037,2021-05-20 14:13:00,12415.0,Australia,396,766.36,2021-05,2.0,14
556918,2021-06-15 13:37:00,12415.0,Australia,192,650.88,2021-06,25.0,13
556917,2021-06-15 13:37:00,12415.0,Australia,15049,22775.93,2021-06,0.0,13
559919,2021-07-13 15:30:00,12415.0,Australia,4308,2735.16,2021-07,28.0,15
559920,2021-07-13 15:31:00,12415.0,Australia,24,61.2,2021-07,0.0,15
560491,2021-07-19 10:51:00,12415.0,Australia,97,158.65,2021-07,5.0,10
563614,2021-08-18 08:51:00,12415.0,Australia,12196,21880.44,2021-08,29.0,8
565145,2021-09-01 13:50:00,12415.0,Australia,2692,2732.92,2021-09,14.0,13
565146,2021-09-01 13:51:00,12415.0,Australia,144,208.8,2021-09,0.0,13
569647,2021-10-05 12:35:00,12415.0,Australia,240,828.0,2021-10,33.0,12
569650,2021-10-05 12:44:00,12415.0,Australia,6895,15643.77,2021-10,0.0,12
574014,2021-11-02 12:03:00,12415.0,Australia,216,624.24,2021-11,27.0,12
574138,2021-11-03 11:26:00,12415.0,Australia,408,375.24,2021-11,0.0,11
576394,2021-11-15 10:32:00,12415.0,Australia,2890,4925.8,2021-11,11.0,10
576586,2021-11-15 14:22:00,12415.0,Australia,240,429.6,2021-11,0.0,14
539391,2020-12-17 11:51:00,12417.0,Belgium,60,291.34,2020-12,,11
541991,2021-01-25 09:11:00,12417.0,Belgium,108,323.44,2021-01,38.0,9
545536,2021-03-03 14:12:00,12417.0,Belgium,126,410.0,2021-03,37.0,14
551398,2021-04-28 13:09:00,12417.0,Spain,267,436.3,2021-04,55.0,13
555574,2021-06-05 15:46:00,12417.0,Belgium,134,437.19,2021-06,38.0,15
562445,2021-08-04 18:51:00,12417.0,Belgium,190,355.56,2021-08,60.0,18
564378,2021-08-25 10:26:00,12417.0,Belgium,344,562.69,2021-08,20.0,10
573656,2021-10-31 16:02:00,12417.0,Belgium,148,462.85,2021-10,67.0,16
580965,2021-12-06 14:52:00,12417.0,Belgium,175,369.73,2021-12,35.0,14
563756,2021-08-19 11:08:00,12418.0,Switzerland,407,668.58,2021-08,,11
570000,2021-10-07 08:55:00,12420.0,Cyprus,345,600.39,2021-10,,8
541980,2021-01-24 15:09:00,12421.0,Spain,104,157.45,2021-01,,15
557297,2021-06-19 13:54:00,12421.0,Spain,145,239.35,2021-06,145.0,13
563518,2021-08-17 10:56:00,12421.0,Spain,158,231.76,2021-08,58.0,10
578339,2021-11-24 09:07:00,12421.0,Spain,77,178.48,2021-11,98.0,9
541520,2021-01-19 09:13:00,12422.0,Australia,113,238.5,2021-01,,9
558041,2021-06-24 13:20:00,12422.0,Switzerland,175,417.36,2021-06,156.0,13
565466,2021-09-05 09:48:00,12422.0,Australia,82,147.7,2021-09,72.0,9
539676,2020-12-21 10:54:00,12423.0,Belgium,188,237.93,2020-12,,10
544474,2021-02-21 09:52:00,12423.0,Belgium,194,192.31,2021-02,61.0,9
547109,2021-03-21 11:46:00,12423.0,Belgium,139,347.35,2021-03,28.0,11
549249,2021-04-07 12:04:00,12423.0,Belgium,248,255.36,2021-04,17.0,12
554147,2021-05-23 10:48:00,12423.0,Belgium,161,333.82,2021-05,45.0,10
555161,2021-06-01 09:26:00,12423.0,Belgium,57,84.92,2021-06,8.0,9
564853,2021-08-31 08:55:00,12423.0,Belgium,149,198.98,2021-08,90.0,8
581493,2021-12-09 10:10:00,12423.0,Belgium,203,208.64,2021-12,100.0,10
558537,2021-06-30 12:06:00,12424.0,Australia,208,294.64,2021-06,,12
558536,2021-06-30 12:06:00,12424.0,Australia,532,1466.32,2021-06,0.0,12
567929,2021-09-22 17:31:00,12425.0,Portugal,496,777.2,2021-09,,17
554985,2021-05-29 12:26:00,12426.0,Germany,258,582.73,2021-05,,12
536861,2020-12-03 10:44:00,12427.0,Germany,79,303.5,2020-12,,10
570452,2021-10-10 15:15:00,12427.0,Germany,114,282.58,2021-10,311.0,15
577135,2021-11-18 08:56:00,12427.0,Germany,340,239.72,2021-11,38.0,8
545226,2021-03-01 09:33:00,12428.0,Finland,852,1943.4,2021-03,,9
545227,2021-03-01 09:35:00,12428.0,Finland,1273,2474.62,2021-03,0.0,9
545336,2021-03-01 16:53:00,12428.0,Finland,2,551.2,2021-03,0.0,16
547086,2021-03-20 15:46:00,12428.0,Finland,63,409.2,2021-03,18.0,15
548363,2021-03-30 15:48:00,12428.0,Finland,346,558.4,2021-03,10.0,15
549588,2021-04-11 10:04:00,12428.0,Finland,237,373.72,2021-04,11.0,10
559004,2021-07-05 12:23:00,12428.0,Finland,228,632.44,2021-07,85.0,12
563020,2021-08-11 12:58:00,12428.0,Finland,385,605.14,2021-08,37.0,12
576082,2021-11-14 08:22:00,12428.0,Finland,150,408.34,2021-11,94.0,8
538003,2020-12-09 12:05:00,12429.0,Denmark,454,1281.5,2020-12,,12
551054,2021-04-26 11:44:00,12429.0,Austria,198,437.98,2021-04,137.0,11
557427,2021-06-20 12:14:00,12429.0,Denmark,393,1125.4,2021-06,55.0,12
579881,2021-11-30 17:22:00,12429.0,Denmark,512,905.52,2021-11,163.0,17
573108,2021-10-27 15:09:00,12430.0,Norway,117,256.4,2021-10,,15
536389,2020-12-01 10:03:00,12431.0,Australia,107,358.25,2020-12,,10
539419,2020-12-17 14:10:00,12431.0,Australia,146,415.7,2020-12,16.0,14
542542,2021-01-28 14:37:00,12431.0,Australia,110,384.68,2021-01,42.0,14
544193,2021-02-17 08:23:00,12431.0,Belgium,279,640.1,2021-02,19.0,8
545065,2021-02-27 14:43:00,12431.0,Australia,217,412.55,2021-02,10.0,14
552956,2021-05-12 12:34:00,12431.0,Australia,184,475.16,2021-05,73.0,12
554126,2021-05-23 09:14:00,12431.0,Australia,231,472.09,2021-05,10.0,9
560473,2021-07-19 10:42:00,12431.0,Australia,174,483.02,2021-07,57.0,10
561040,2021-07-24 12:05:00,12431.0,Australia,214,505.46,2021-07,5.0,12
561228,2021-07-26 10:16:00,12431.0,Australia,72,118.8,2021-07,1.0,10
563179,2021-08-12 14:19:00,12431.0,Australia,374,608.76,2021-08,17.0,14
569722,2021-10-06 09:31:00,12431.0,Australia,238,588.96,2021-10,54.0,9
569723,2021-10-06 09:32:00,12431.0,Australia,28,89.8,2021-10,0.0,9
570446,2021-10-10 14:49:00,12431.0,Belgium,196,332.68,2021-10,4.0,14
574469,2021-11-04 11:55:00,12431.0,Australia,348,601.44,2021-11,24.0,11
557472,2021-06-20 13:27:00,12432.0,Norway,1090,2862.06,2021-06,,13
557474,2021-06-20 13:29:00,12432.0,Norway,336,454.6,2021-06,0.0,13
557754,2021-06-22 13:12:00,12432.0,Norway,1,700.0,2021-06,1.0,13
573195,2021-10-28 11:40:00,12432.0,Norway,366,978.06,2021-10,127.0,11
573200,2021-10-28 11:43:00,12432.0,Norway,8,64.6,2021-10,0.0,11
536532,2020-12-01 13:24:00,12433.0,Norway,1852,1919.14,2020-12,,13
537868,2020-12-08 16:49:00,12433.0,Norway,1730,1867.98,2020-12,7.0,16
566195,2021-09-09 13:44:00,12433.0,Norway,1849,2608.11,2021-09,274.0,13
573035,2021-10-27 13:43:00,12433.0,Norway,1114,1498.66,2021-10,47.0,13
579692,2021-11-30 14:05:00,12433.0,Norway,2299,2843.29,2021-11,34.0,14
581476,2021-12-09 08:48:00,12433.0,Norway,2215,2618.89,2021-12,8.0,8
581491,2021-12-09 10:02:00,12433.0,Norway,12,19.8,2021-12,0.0,10
547659,2021-03-24 13:05:00,12434.0,Australia,77,286.25,2021-03,,13
567085,2021-09-16 12:38:00,12434.0,Australia,317,519.89,2021-09,175.0,12
546780,2021-03-17 07:40:00,12435.0,Denmark,879,3978.99,2021-03,,7
567526,2021-09-21 09:06:00,12435.0,Denmark,1176,3850.9,2021-09,188.0,9
565124,2021-09-01 12:09:00,12436.0,Norway,211,509.01,2021-09,,12
540972,2021-01-12 14:13:00,12437.0,France,134,392.7,2021-01,,14
543030,2021-02-02 15:22:00,12437.0,France,207,150.5,2021-02,21.0,15
544817,2021-02-23 16:44:00,12437.0,France,266,344.0,2021-02,21.0,16
544818,2021-02-23 16:45:00,12437.0,France,96,95.76,2021-02,0.0,16
546765,2021-03-16 14:37:00,12437.0,France,98,147.71,2021-03,20.0,14
551389,2021-04-28 11:45:00,12437.0,France,147,209.1,2021-04,42.0,11
553577,2021-05-18 10:34:00,12437.0,France,154,368.2,2021-05,19.0,10
554555,2021-05-25 10:08:00,12437.0,France,182,267.12,2021-05,6.0,10
556816,2021-06-15 09:01:00,12437.0,France,359,501.64,2021-06,20.0,9
565321,2021-09-02 13:14:00,12437.0,France,100,269.58,2021-09,79.0,13
565322,2021-09-02 13:15:00,12437.0,France,54,65.1,2021-09,0.0,13
567910,2021-09-22 16:58:00,12437.0,France,173,222.6,2021-09,20.0,16
573036,2021-10-27 13:44:00,12437.0,France,78,263.46,2021-10,34.0,13
574093,2021-11-03 09:43:00,12437.0,France,567,736.55,2021-11,6.0,9
574252,2021-11-03 13:24:00,12437.0,France,95,260.48,2021-11,0.0,13
577344,2021-11-18 15:14:00,12437.0,France,93,198.6,2021-11,15.0,15
579870,2021-11-30 16:47:00,12437.0,France,99,292.41,2021-11,12.0,16
581279,2021-12-08 11:35:00,12437.0,France,21,165.9,2021-12,7.0,11
560991,2021-07-22 13:29:00,12438.0,Norway,586,890.07,2021-07,,13
578811,2021-11-25 13:28:00,12438.0,Norway,594,2016.78,2021-11,125.0,13
537693,2020-12-08 10:45:00,12441.0,France,121,173.55,2020-12,,10
580955,2021-12-06 14:22:00,12442.0,Spain,182,172.06,2021-12,,14
557621,2021-06-21 14:00:00,12444.0,Norway,582,1870.2,2021-06,,14
562844,2021-08-10 08:41:00,12444.0,Norway,68,757.07,2021-08,49.0,8
566773,2021-09-15 09:43:00,12444.0,Norway,178,562.54,2021-09,36.0,9
570793,2021-10-12 12:08:00,12444.0,Norway,85,879.01,2021-10,27.0,12
577314,2021-11-18 13:23:00,12444.0,Norway,242,936.64,2021-11,37.0,13
577125,2021-11-17 18:43:00,12445.0,Spain,62,133.4,2021-11,,18
571035,2021-10-13 12:50:00,12446.0,RSA,352,1002.31,2021-10,,12
549559,2021-04-10 13:25:00,12447.0,Belgium,190,476.49,2021-04,,13
572886,2021-10-26 13:46:00,12448.0,Spain,243,449.45,2021-10,,13
555572,2021-06-05 15:37:00,12449.0,Belgium,390,858.93,2021-06,,15
562034,2021-08-02 09:14:00,12449.0,Belgium,267,777.95,2021-08,57.0,9
566076,2021-09-09 09:13:00,12449.0,Belgium,372,1087.7,2021-09,37.0,9
577046,2021-11-17 13:46:00,12449.0,Belgium,524,1342.71,2021-11,69.0,13
557303,2021-06-19 14:36:00,12450.0,Spain,64,101.88,2021-06,,14
559148,2021-07-06 14:41:00,12450.0,Spain,64,96.0,2021-07,17.0,14
541518,2021-01-19 09:05:00,12451.0,Switzerland,2334,2919.51,2021-01,,9
552013,2021-05-05 17:34:00,12451.0,Switzerland,1771,2388.31,2021-05,106.0,17
569653,2021-10-05 12:52:00,12451.0,Switzerland,1650,2539.56,2021-10,152.0,12
577157,2021-11-18 09:58:00,12451.0,Switzerland,669,925.64,2021-11,43.0,9
579259,2021-11-29 08:40:00,12451.0,Switzerland,151,262.5,2021-11,10.0,8
578099,2021-11-23 08:05:00,12452.0,Switzerland,183,350.57,2021-11,,8
578123,2021-11-23 10:28:00,12452.0,Switzerland,2,80.0,2021-11,0.0,10
561627,2021-07-28 14:08:00,12453.0,Austria,473,707.09,2021-07,,14
571255,2021-10-14 17:13:00,12454.0,Spain,1006,3528.34,2021-10,,17
544097,2021-02-16 09:56:00,12455.0,Cyprus,1522,1683.9,2021-02,,9
544331,2021-02-17 17:05:00,12455.0,Cyprus,1,15.0,2021-02,1.0,17
555470,2021-06-03 11:33:00,12455.0,Spain,107,264.4,2021-06,105.0,11
559135,2021-07-06 13:18:00,12455.0,Spain,103,134.5,2021-07,33.0,13
562287,2021-08-04 11:07:00,12455.0,Spain,33,78.56,2021-08,28.0,11
568554,2021-09-27 15:31:00,12455.0,Spain,323,290.5,2021-09,54.0,15
548212,2021-03-30 09:12:00,12456.0,Switzerland,445,940.17,2021-03,,9
561898,2021-07-31 15:25:00,12456.0,Switzerland,628,1325.23,2021-07,123.0,15
572896,2021-10-26 14:41:00,12456.0,Switzerland,560,915.64,2021-10,86.0,14
550188,2021-04-14 18:57:00,12457.0,Switzerland,197,669.25,2021-04,,18
550281,2021-04-15 13:48:00,12457.0,Switzerland,101,219.0,2021-04,0.0,13
550671,2021-04-20 10:10:00,12457.0,Switzerland,100,179.0,2021-04,4.0,10
566756,2021-09-14 15:54:00,12457.0,Switzerland,376,743.28,2021-09,147.0,15
566916,2021-09-15 14:25:00,12457.0,Switzerland,4,160.0,2021-09,0.0,14
567188,2021-09-19 09:04:00,12457.0,Cyprus,33,196.35,2021-09,3.0,9
569489,2021-10-04 13:13:00,12457.0,Cyprus,33,196.35,2021-10,15.0,13
545084,2021-02-28 10:55:00,12458.0,Switzerland,270,441.92,2021-02,,10
568950,2021-09-29 15:25:00,12458.0,Switzerland,236,505.48,2021-09,213.0,15
559372,2021-07-08 10:23:00,12461.0,Switzerland,282,626.88,2021-07,,10
565785,2021-09-06 16:57:00,12461.0,Switzerland,5,200.0,2021-09,60.0,16
543541,2021-02-09 14:44:00,12462.0,Spain,287,762.11,2021-02,,14
577606,2021-11-21 09:11:00,12462.0,Spain,249,427.48,2021-11,284.0,9
549825,2021-04-12 12:47:00,12463.0,Belgium,189,350.57,2021-04,,12
553415,2021-05-17 10:02:00,12463.0,Belgium,168,297.38,2021-05,34.0,10
557232,2021-06-17 14:28:00,12463.0,Belgium,220,337.84,2021-06,31.0,14
571445,2021-10-17 13:44:00,12463.0,Belgium,199,358.99,2021-10,121.0,13
543117,2021-02-03 13:30:00,12464.0,Belgium,21,213.9,2021-02,,13
545140,2021-02-28 12:08:00,12464.0,Belgium,15,149.95,2021-02,24.0,12
